Customer ID,InvoiceDate,Recency,Lifespan,Frequency,Monetary,TotalItems,AvgBasketSize,AvgSpendPerInvoice,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,2011-01-18 10:01:00,326,0,1,77183.6,74215,74215.0,77183.6,1,1,5,115,At Risk
12347.0,2011-12-07 15:52:00,2,365,7,4310.0,2458,351.14285714285717,615.7142857142857,5,5,5,555,Champion
12348.0,2011-09-25 13:13:00,75,282,4,1797.24,2341,585.25,449.31,2,4,4,244,Others
12349.0,2011-11-21 09:51:00,19,0,1,1757.55,631,631.0,1757.55,4,1,4,414,Big Spender
12350.0,2011-02-02 16:01:00,310,0,1,334.4,197,197.0,334.4,1,1,2,112,At Risk
12352.0,2011-11-03 14:37:00,36,260,8,2506.04,536,67.0,313.255,3,5,5,355,Others
12353.0,2011-05-19 17:47:00,204,0,1,89.0,20,20.0,89.0,1,1,1,111,At Risk
12354.0,2011-04-21 13:11:00,232,0,1,1079.4,530,530.0,1079.4,1,1,4,114,At Risk
12355.0,2011-05-09 13:49:00,214,0,1,459.4,240,240.0,459.4,1,1,2,112,At Risk
12356.0,2011-11-17 08:40:00,23,302,3,2811.43,1591,530.3333333333334,937.1433333333333,4,3,5,435,Big Spender
12357.0,2011-11-06 16:07:00,33,0,1,6207.67,2708,2708.0,6207.67,4,1,5,415,Big Spender
12358.0,2011-12-08 10:26:00,2,149,2,1168.06,248,124.0,584.03,5,2,4,524,Big Spender
12359.0,2011-10-13 12:47:00,58,274,4,6372.58,1622,405.5,1593.145,3,4,5,345,Others
12360.0,2011-10-18 15:22:00,52,148,3,2662.06,1165,388.3333333333333,887.3533333333334,3,3,5,335,Others
12361.0,2011-02-25 13:51:00,287,0,1,189.9,91,91.0,189.9,1,1,1,111,At Risk
12362.0,2011-12-06 15:40:00,3,292,10,5226.23,2229,222.9,522.6229999999999,5,5,5,555,Champion
12363.0,2011-08-22 10:18:00,110,132,2,552.0,408,204.0,276.0,2,2,3,223,At Risk
12364.0,2011-12-02 10:22:00,8,104,4,1313.1,1506,376.5,328.275,5,4,4,544,Loyal
12365.0,2011-02-21 14:04:00,291,0,2,641.38,174,87.0,320.69,1,2,3,123,At Risk
12367.0,2011-12-05 16:48:00,4,0,1,168.9,173,173.0,168.9,5,1,1,511,New Customer
12370.0,2011-10-19 14:51:00,51,309,4,3545.69,2353,588.25,886.4225,3,4,5,345,Others
12371.0,2011-10-26 10:16:00,45,14,2,1887.96,591,295.5,943.98,3,2,4,324,Others
12372.0,2011-09-29 12:12:00,72,224,3,1298.04,794,264.6666666666667,432.68,3,3,4,334,Others
12373.0,2011-02-01 13:10:00,311,0,1,364.6,197,197.0,364.6,1,1,2,112,At Risk
12374.0,2011-11-14 15:37:00,25,0,1,742.9300000000001,342,342.0,742.9300000000001,4,1,3,413,Others
12375.0,2011-11-29 10:36:00,11,87,2,457.5,178,89.0,228.75,5,2,2,522,New Customer
